,house_name,house_basic_inf,house_address,house_totalprice,house_unitprice
158,旭辉滨江东方悦府 ,3室2厅_85.96平米_南_毛坯_高楼层(共19层)_板楼,湘湖,308万,单价35831元/平米
159,东园小区 ,2室1厅_43.76平米_南北_精装_中楼层(共7层)_板楼,建国北路,210万,单价47990元/平米
160,嘉里桦枫居北区 ,3室2厅_88.69平米_南_精装_低楼层(共16层)_板楼,石桥,268万,单价30218元/平米
161,庭院深深 ,3室2厅_135.22平米_南北_精装_18层_板楼,未来科技城,300万,单价22187元/平米
162,金都夏宫 ,3室2厅_89.79平米_东南南_毛坯_中楼层(共40层)_板楼,临平,205万,单价22832元/平米
163,北秀蓝湾花苑 ,3室2厅_137.9平米_南北_毛坯_11层_板楼,良渚,270万,单价19580元/平米
164,野风启城 ,3室1厅_137.14平米_南_毛坯_低楼层(共27层)_板楼,塘栖,230万,单价16772元/平米
165,宋都东郡国际嘉湾 ,3室2厅_88.49平米_南_简装_中楼层(共33层)_板楼,大学城北,258万,单价29156元/平米
166,后珠辰秀嘉园 ,3室2厅_91.86平米_南_精装_低楼层(共18层)_板楼,丁桥,242万,单价26345元/平米
167,北秀蓝湾花苑 ,3室2厅_127.99平米_南北_精装_11层_板楼,良渚,240万,单价18752元/平米
168,古荡新村东区 ,3室1厅_73.12平米_南_简装_中楼层(共6层)_板楼,古荡,290万,单价39661元/平米
169,世纪新城东区 ,1室1厅_69平米_东_简装_27层_板塔结合,嘉绿,380万,单价55073元/平米
170,保亿风景蝶院观园 ,3室1厅_87.79平米_南北_精装_高楼层(共25层)_板楼,白马湖,330万,单价37590元/平米
171,金色蓝庭 ,3室1厅_89.21平米_南_精装_21层_板楼,嘉绿,580万,单价65016元/平米
172,官河公寓 ,3室2厅_106.97平米_南_简装_低楼层(共6层)_板楼,西兴,315万,单价29448元/平米
173,融信江南学府 ,3室2厅_87.37平米_南_毛坯_高楼层(共33层)_板楼,萧山新城区,335万,单价38343元/平米
